category,abs_weight_error,abs_volume_error,count
undefined > NANAPIERXING > ,0.75,0.9813988095238096,1
Home > 콜렉터블 > ,0.1044776119402986,0.9813737666639596,1
냉장우유,0.8607242339832869,0.9811764705882352,1
김,0.8477157360406091,0.9809566589029346,1
패션잡화>주얼리>피어싱>실버피어싱,0.7142857142857143,0.980890356509509,1
생활/건강>반려동물>외출용품>유모차,0.9342105263157894,0.9807849969255996,1
Home > 2 BALL FAN > ,0.0909090909090909,0.9805902158843336,1
Home > 핸드스트랩 > ,0.4814814814814814,0.9805900621118012,1
패션소품 > 시계 > 쿼츠 아날로그,0.6610169491525424,0.9803921568627452,1
도서>잡지>여행/취미/스포츠>레저/스포츠,0.7183098591549295,0.980368271954674,1
홈 > PRODUCT > ,0.7306397306397305,0.9803013887520928,1
홈 > ALL > ,0.6120107962213226,0.9802836052836053,2
보조배터리,0.696969696969697,0.98015873015873,1
생활/건강>욕실용품>수건/타월>세면타월,0.7890181762277534,0.9800689029399634,6
커피/생수/음료>커피>커피믹스>커피믹스,0.8818897637795277,0.979513272823736,1
잡지,0.8214285714285714,0.9794463667820068,1
Home > SHOP > RING > ,0.9047619047619048,0.9794429195659002,1
식품>농산물>채소>고추,0.9061224489795918,0.9793320105820106,1
여성의류 > 원피스 > 롱 원피스,0.658703071672355,0.979147358665431,1
여성의류 > 스커트 > 데님,0.375,0.9791119079531412,1
디지털 > 휴대폰 > 케이스/보호필름/액세서리 > ,0.6226415094339622,0.9789915966386554,1
Home ||남성 ||다운 ||다운조끼 > Home > 남성 > 다운 > 다운조끼 > M'S SUPERFLEX NUPTSE DOWN VEST (RDS) > ,0.453551912568306,0.9785714285714284,1
생활/건강>자동차용품>튜닝용품>기타튜닝용품,0.6747967479674797,0.9784334023464458,1
악기/취미 > 모형/프라모델/피규어 > 피규어,0.7014925373134328,0.9783620036784594,1
가공식품 > 과자/간식 > 초콜릿,0.7209853705647092,0.9783367108367108,3
스타굿즈 > 걸그룹 > 팬시/포토카드 > ,0.4333059003930664,0.9783230387002212,306
Home > VIEW ALL > ,0.7500000000000001,0.9782986111111112,1
로그인 > 회원가입 > ,0.5121951219512195,0.978232472089966,1
뷰티/미용 > 스킨케어 > 스킨/토너/미스트 > ,0.8113207547169811,0.9779912094794586,1
커피/생수/음료>탄산수>국내탄산수,0.1438356164383561,0.977836879432624,1
게임>게임타이틀>게임칩/디스크,0.375,0.9778021400549056,1
가구/인테리어>홈데코>주방데코>식탁매트,0.2156862745098039,0.9777777777777776,1
출산/육아>수유용품>젖꼭지,0.3725490196078431,0.9776823823747705,2
스타굿즈 > 보이그룹 > 팬시/포토카드 > ,0.49079286325291394,0.9776165451410256,443
등산/아웃도어>여성등산의류>여성등산자켓,0.6,0.9774935969283262,1
